num; time; bmp_temp; bmp_press; bmp_humidity; bmp_height; photorez
1;1489;2349;99040;44;0.000000;50.576847;
1;1489;2349;99040;44;0.000000;50.698792;
1;1489;2349;99040;44;0.000000;51.187790;
1;1489;2349;99040;44;0.000000;50.455029;
1;1489;2351;99037;44;0.281086;49.364235;
1;1489;2351;99037;44;0.281086;50.576847;
1;1489;2351;99037;44;0.281086;51.678768;
1;1489;2351;99037;44;0.281086;51.433033;
2;2355;2351;99037;44;0.281086;52.418980;
2;2355;2351;99037;44;0.281086;51.555840;
2;2355;2352;99036;44;0.402227;51.925011;
2;2355;2352;99036;44;0.402227;52.914944;
2;2355;2352;99036;44;0.402227;52.171749;
2;2355;2352;99036;44;0.402227;53.662647;
3;3041;2352;99036;44;0.402227;53.662647;
3;3041;2353;99039;44;0.165527;54.289223;
3;3041;2353;99039;44;0.165527;54.918900;
3;3041;2353;99039;44;0.165527;54.792717;
3;3041;2353;99039;44;0.165527;55.805763;
3;3041;2353;99039;44;0.165527;54.918900;
3;3041;2354;99038;44;0.190546;55.298225;
3;3041;2354;99038;44;0.190546;56.698841;
3;3041;2354;99038;44;0.190546;57.598164;
3;3041;2354;99038;44;0.190546;57.083500;
4;4155;2354;99038;44;0.190546;56.443043;
4;4155;2354;99041;44;-0.007926;57.469307;
4;4155;2354;99041;44;-0.007926;56.955162;
4;4155;2354;99041;44;-0.007926;58.114876;
4;4155;2354;99041;44;-0.007926;56.826935;
4;4155;2354;99041;44;-0.007926;57.211967;
5;4805;2354;99041;44;-0.007926;57.211967;
5;4805;2355;99039;44;0.153264;57.340576;
5;4805;2355;99039;44;0.153264;56.570881;
5;4805;2355;99039;44;0.153264;56.955162;
5;4805;2355;99039;44;0.153264;56.570881;
5;4805;2355;99039;44;0.153264;56.187752;
5;4805;2355;99036;43;0.404465;56.060295;
5;4805;2355;99036;43;0.404465;56.187752;
5;4805;2355;99036;43;0.404465;55.805763;
5;4805;2355;99036;43;0.404465;55.678696;
6;5985;2355;99036;43;0.404465;55.171669;
6;5985;2356;99035;43;0.435450;55.424923;
6;5985;2356;99035;43;0.435450;55.551746;
6;5985;2356;99035;43;0.435450;55.932968;
6;5985;2356;99035;43;0.435450;55.932968;
6;5985;2356;99038;43;0.209099;56.315331;
7;6786;2356;99038;43;0.209099;56.443043;
7;6786;2356;99038;43;0.209099;55.932968;
7;6786;2356;99038;43;0.209099;55.551746;
7;6786;2356;99037;43;0.283570;55.932968;
7;6786;2356;99037;43;0.283570;56.060295;
7;6786;2356;99037;43;0.283570;56.187752;
7;6786;2356;99037;43;0.283570;56.315331;
7;6786;2356;99037;43;0.283570;56.698841;
7;6786;2356;99037;43;0.283570;56.187752;
7;6786;2357;99037;43;0.303424;56.955162;
8;7952;2357;99037;43;0.303424;56.570881;
8;7952;2357;99037;43;0.303424;55.805763;
8;7952;2357;99037;43;0.303424;55.805763;
8;7952;2357;99037;43;0.303424;55.805763;
8;7952;2357;99040;43;0.049628;55.171669;
8;7952;2357;99040;43;0.049628;55.298225;
9;8628;2357;99040;43;0.049628;55.424923;
9;8628;2357;99040;43;0.049628;54.792717;
9;8628;2357;99040;43;0.049628;55.298225;
9;8628;2357;99039;43;0.112712;54.792717;
9;8628;2357;99039;43;0.112712;54.289223;
9;8628;2357;99039;43;0.112712;54.414906;
9;8628;2357;99039;43;0.112712;54.666649;
9;8628;2357;99039;43;0.112712;54.540714;
9;8628;2357;99039;43;0.112712;54.163666;
9;8628;2357;99036;43;0.367893;53.662647;
10;9726;2357;99036;43;0.367893;53.537712;
10;9726;2357;99036;43;0.367893;53.787704;
10;9726;2357;99036;43;0.367893;51.925011;
10;9726;2357;99036;43;0.367893;52.666714;
10;9726;2357;99036;43;0.371511;52.542782;
10;9726;2357;99036;43;0.371511;53.288235;
11;10388;2357;99036;43;0.371511;52.295300;
11;10388;2357;99036;43;0.371511;51.433033;
11;10388;2357;99036;43;0.371511;50.943035;
11;10388;2357;99039;43;0.093812;50.333336;
11;10388;2357;99039;43;0.093812;50.333336;
11;10388;2357;99039;43;0.093812;50.211765;
11;10388;2357;99039;43;0.093812;50.090321;
11;10388;2357;99039;43;0.093812;49.968998;
11;10388;2357;99037;43;0.328708;50.090321;
11;10388;2357;99037;43;0.328708;50.090321;
12;11638;2357;99037;43;0.328708;49.364235;
12;11638;2357;99037;43;0.328708;49.968998;
12;11638;2357;99037;43;0.328708;50.820850;
12;11638;2357;99041;43;-0.010691;50.090321;
12;11638;2357;99041;43;-0.010691;49.605770;
12;11638;2357;99041;43;-0.010691;48.402966;
13;12370;2357;99041;43;-0.010691;50.211765;
13;12370;2357;99041;43;-0.010691;49.847794;
13;12370;2357;99040;43;0.028315;49.726727;
13;12370;2357;99040;43;0.028315;49.726727;
13;12370;2357;99040;43;0.028315;49.847794;
13;12370;2357;99040;43;0.028315;50.576847;
13;12370;2358;99037;43;0.329665;49.123154;
13;12370;2358;99037;43;0.329665;49.726727;
13;12370;2358;99037;43;0.329665;50.211765;
13;12370;2358;99037;43;0.329665;49.484943;
14;13550;2358;99037;43;0.329665;49.364235;
14;13550;2357;99037;43;0.306792;49.364235;
14;13550;2357;99037;43;0.306792;49.605770;
14;13550;2357;99037;43;0.306792;50.211765;
14;13550;2357;99037;43;0.306792;49.605770;
14;13550;2357;99037;43;0.306792;50.211765;
15;14225;2357;99037;43;0.306792;51.310352;
15;14225;2358;99036;43;0.383782;49.726727;
15;14225;2358;99036;43;0.383782;50.455029;
15;14225;2358;99036;43;0.383782;50.576847;
15;14225;2358;99036;43;0.383782;50.455029;
15;14225;2358;99036;43;0.383782;50.455029;
15;14225;2358;99039;43;0.104092;50.211765;
15;14225;2358;99039;43;0.104092;50.820850;
15;14225;2358;99039;43;0.104092;49.847794;
15;14225;2358;99039;43;0.104092;50.090321;
16;15499;2359;99035;43;0.474925;50.333336;
16;15499;2359;99035;43;0.474925;50.455029;
16;15499;2359;99035;43;0.432724;50.333336;
16;15499;2359;99035;43;0.432724;50.211765;
16;15499;2359;99035;43;0.432724;50.820850;
16;15499;2359;99035;43;0.432724;50.820850;
17;16666;2359;99039;43;0.083560;50.698792;
